iter	Passed	Remaining
823	8540	1824
824	8551	1813
825	8561	1803
826	8572	1793
827	8586	1783
828	8596	1773
829	8607	1763
830	8619	1752
831	8629	1742
832	8639	1732
833	8651	1721
834	8663	1711
835	8674	1701
836	8685	1691
837	8694	1680
838	8705	1670
839	8715	1660
840	8725	1649
841	8735	1639
842	8746	1628
843	8755	1618
844	8766	1608
845	8775	1597
846	8786	1587
847	8797	1576
848	8808	1566
849	8817	1556
850	8827	1545
851	8836	1534
852	8845	1524
853	8854	1513
854	8864	1503
855	8874	1492
856	8887	1482
857	8896	1472
858	8907	1462
859	8915	1451
860	8926	1441
861	8938	1430
862	8948	1420
863	8959	1410
864	8970	1400
865	8979	1389
866	8990	1379
867	9000	1368
868	9010	1358
869	9021	1348
870	9032	1337
871	9042	1327
872	9054	1317
873	9064	1306
874	9074	1296
875	9086	1286
876	9096	1275
877	9106	1265
878	9117	1255
879	9128	1244
880	9137	1234
881	9149	1224
882	9160	1213
883	9173	1203
884	9184	1193
885	9199	1183
886	9216	1174
887	9228	1164
888	9240	1153
889	9253	1143
890	9264	1133
891	9274	1122
892	9284	1112
893	9294	1102
894	9306	1091
895	9317	1081
896	9327	1071
897	9336	1060
898	9347	1050
899	9356	1039
900	9366	1029
901	9375	1018
902	9385	1008
903	9395	997
904	9406	987
905	9417	977
906	9427	966
907	9437	956
908	9446	945
909	9456	935
910	9466	924
911	9475	914
912	9485	903
913	9494	893
914	9502	882
915	9512	872
916	9521	861
917	9530	851
918	9541	840
919	9551	830
920	9562	820
921	9572	809
922	9584	799
923	9594	789
924	9605	778
925	9619	768
926	9633	758
927	9647	748
928	9661	738
929	9673	728
930	9683	717
931	9691	707
932	9701	696
933	9712	686
934	9722	675
935	9731	665
936	9741	654
937	9750	644
938	9760	634
939	9769	623
940	9779	613
941	9788	602
942	9796	592
943	9806	581
944	9816	571
945	9824	560
946	9833	550
947	9843	539
948	9852	529
949	9862	519
950	9872	508
951	9882	498
952	9892	487
953	9900	477
954	9910	466
955	9920	456
956	9929	446
957	9940	435
958	9950	425
959	9959	414
960	9967	404
961	9977	394
962	9986	383
963	9996	373
964	10005	362
965	10016	352
966	10026	342
967	10035	331
968	10045	321
969	10056	311
970	10064	300
971	10073	290
972	10081	279
973	10090	269
974	10099	258
975	10108	248
976	10119	238
977	10128	227
978	10137	217
979	10146	207
980	10155	196
981	10165	186
982	10176	175
983	10185	165
984	10194	155
985	10204	144
986	10212	134
987	10222	124
988	10231	113
989	10241	103
990	10251	93
991	10261	82
992	10269	72
993	10278	62
994	10289	51
995	10298	41
996	10307	31
997	10316	20
998	10325	10
999	10335	0
